GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0005219	ryanodine-sensitive calcium-release channel activity	4.908859110031952e-7	4.908859110031952e-7	+1	ENSG00000198838,ENSG00000119782,ENSG00000198626,ENSG00000196218
GO:0140096	catalytic activity, acting on a protein	9.842360484917616e-7	9.842360484917616e-7	+1	ENSG00000139549,ENSG00000105426,ENSG00000103254,ENSG00000203740,ENSG00000188612,ENSG00000088832,ENSG00000120899,ENSG00000204256,ENSG00000067365,ENSG00000119782,ENSG00000198363,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000203791,ENSG00000143801,ENSG00000142949,ENSG00000139160,ENSG00000188322,ENSG00000169398,ENSG00000108175,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000171806,ENSG00000164690,ENSG00000163501,ENSG00000156521,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000141867,ENSG00000136943,ENSG00000130726,ENSG00000127947,ENSG00000103653
GO:0048763	calcium-induced calcium release activity	0.000007300463595871846	0.000007300463595871846	+1	ENSG00000198838,ENSG00000119782,ENSG00000198626,ENSG00000196218
GO:0019899	enzyme binding	0.00003879869824187468	0.00003879869824187468	+1	ENSG00000148400,ENSG00000132535,ENSG00000109971,ENSG00000137486,ENSG00000188612,ENSG00000141480,ENSG00000141738,ENSG00000160691,ENSG00000050820,ENSG00000139197,ENSG00000120899,ENSG00000177885,ENSG00000116030,ENSG00000078369,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000142875,ENSG00000198626,ENSG00000169398,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000156521,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000089159,ENSG00000141867,ENSG00000130726,ENSG00000103653
GO:0140853	cholesterol-protein transferase activity	0.00009101204931617952	0.00009101204931617952	+1	ENSG00000139549,ENSG00000164690,ENSG00000163501
GO:0005509	calcium ion binding	0.0002788179390581903	0.0002788179390581903	+1	ENSG00000148400,ENSG00000139549,ENSG00000198838,ENSG00000129007,ENSG00000178372,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000178363,ENSG00000175356,ENSG00000169885,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000138798,ENSG00000118729
GO:0005102	signaling receptor binding	0.00029204226159828286	0.00029204226159828286	+1	ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000109971,ENSG00000137486,ENSG00000141480,ENSG00000160691,ENSG00000088832,ENSG00000177885,ENSG00000119782,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000169398,ENSG00000141404,ENSG00000186439,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000164690,ENSG00000163501,ENSG00000146648,ENSG00000141736,ENSG00000089159,ENSG00000138798
GO:0004672	protein kinase activity	0.00046364991695223496	0.00046364991695223496	+1	ENSG00000120899,ENSG00000204256,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000188322,ENSG00000169398,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000146648,ENSG00000141736,ENSG00000141867,ENSG00000130726,ENSG00000103653
GO:0008276	protein methyltransferase activity	0.0005793156511659049	0.0005793156511659049	+1	ENSG00000103254,ENSG00000203740,ENSG00000067365,ENSG00000203791,ENSG00000139160,ENSG00000171806,ENSG00000144401
GO:0044325	transmembrane transporter binding	0.0006176315931619973	0.0006176315931619973	+1	ENSG00000089250,ENSG00000088832,ENSG00000119782,ENSG00000198363,ENSG00000197122,ENSG00000198626,ENSG00000186439,ENSG00000160014
