# version: e111_eg58_p18_f463989d
# date: 10/1/2024, 1:22:27 PM
# organism: hsapiens
# all results: false
# ordered: false
# no iea: false
# sources: GO:MF,GO:BP,GO:CC,KEGG,REAC,WP,TF,MIRNA,HPA,CORUM,HP
# combined: false
# numeric ns: ENTREZGENE_ACC
# domain scope: annotated
# measure underrepresentation: false
# significance threshold method: g_SCS
# user threshold: 0.05
# no evidences: false
# query genes included: query_1<ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000198838,ENSG00000157322,ENSG00000145687,ENSG00000089250,ENSG00000105426,ENSG00000103254,ENSG00000140368,ENSG00000172824,ENSG00000109971,ENSG00000166444,ENSG00000110031,ENSG00000129007,ENSG00000133835,ENSG00000137486,ENSG00000203740,ENSG00000188612,ENSG00000141480,ENSG00000141738,ENSG00000160691,ENSG00000237172,ENSG00000175470,ENSG00000050820,ENSG00000139197,ENSG00000153485,ENSG00000167378,ENSG00000152229,ENSG00000221886,ENSG00000206069,ENSG00000088832,ENSG00000120899,ENSG00000213965,ENSG00000204256,ENSG00000132589,ENSG00000197037,ENSG00000177885,ENSG00000116030,ENSG00000221874,ENSG00000176533,ENSG00000067365,ENSG00000214562,ENSG00000119782,ENSG00000178372,ENSG00000189350,ENSG00000198363,ENSG00000078369,ENSG00000169717,ENSG00000165059,ENSG00000137312,ENSG00000169083,ENSG00000244462,ENSG00000197122,ENSG00000162521,ENSG00000184292,ENSG00000142875,ENSG00000203791,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000142949,ENSG00000196218,ENSG00000139160,ENSG00000166321,ENSG00000180900,ENSG00000168214,ENSG00000188322,ENSG00000188100,ENSG00000169398,ENSG00000166407,ENSG00000108175,ENSG00000141404,ENSG00000186439,ENSG00000146757,ENSG00000185522,ENSG00000183310,ENSG00000183715,ENSG00000080815,ENSG00000184716,ENSG00000100077,ENSG00000178363,ENSG00000173020,ENSG00000175356,ENSG00000072062,ENSG00000171806,ENSG00000171813,ENSG00000169925,ENSG00000169885,ENSG00000170606,ENSG00000164690,ENSG00000163501,ENSG00000162928,ENSG00000161533,ENSG00000160014,ENSG00000156521,ENSG00000150787,ENSG00000146700,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000140876,ENSG00000089159,ENSG00000138798,ENSG00000141867,ENSG00000118729,ENSG00000137727,ENSG00000136943,ENSG00000136159,ENSG00000135617,ENSG00000130950,ENSG00000130726,ENSG00000127947,ENSG00000127588,ENSG00000108788,ENSG00000126243,ENSG00000112874,ENSG00000004468,ENSG00000103653>
# query genes not included: ,
# query genes duplicates: none
"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","ryanodine-sensitive calcium-release channel activity","GO:0005219","true","4.908859110031952e-7","6.309019432478202","4","112","4","20212","ENSG00000198838,ENSG00000119782,ENSG00000198626,ENSG00000196218"
"GO:MF","catalytic activity, acting on a protein","GO:0140096","true","9.842360484917616e-7","6.006900732601726","2355","112","37","20212","ENSG00000139549,ENSG00000105426,ENSG00000103254,ENSG00000203740,ENSG00000188612,ENSG00000088832,ENSG00000120899,ENSG00000204256,ENSG00000067365,ENSG00000119782,ENSG00000198363,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000203791,ENSG00000143801,ENSG00000142949,ENSG00000139160,ENSG00000188322,ENSG00000169398,ENSG00000108175,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000171806,ENSG00000164690,ENSG00000163501,ENSG00000156521,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000141867,ENSG00000136943,ENSG00000130726,ENSG00000127947,ENSG00000103653"
"GO:MF","calcium-induced calcium release activity","GO:0048763","false","0.000007300463595871846","5.136649560326646","6","112","4","20212","ENSG00000198838,ENSG00000119782,ENSG00000198626,ENSG00000196218"
"GO:MF","enzyme binding","GO:0019899","true","0.00003879869824187468","4.411182845432974","2103","112","32","20212","ENSG00000148400,ENSG00000132535,ENSG00000109971,ENSG00000137486,ENSG00000188612,ENSG00000141480,ENSG00000141738,ENSG00000160691,ENSG00000050820,ENSG00000139197,ENSG00000120899,ENSG00000177885,ENSG00000116030,ENSG00000078369,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000142875,ENSG00000198626,ENSG00000169398,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000156521,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000089159,ENSG00000141867,ENSG00000130726,ENSG00000103653"
"GO:MF","cholesterol-protein transferase activity","GO:0140853","false","0.00009101204931617952","4.040901106523848","3","112","3","20212","ENSG00000139549,ENSG00000164690,ENSG00000163501"
"GO:MF","calcium ion binding","GO:0005509","true","0.0002788179390581903","3.5546792873052073","726","112","17","20212","ENSG00000148400,ENSG00000139549,ENSG00000198838,ENSG00000129007,ENSG00000178372,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000178363,ENSG00000175356,ENSG00000169885,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000138798,ENSG00000118729"
"GO:MF","signaling receptor binding","GO:0005102","true","0.00029204226159828286","3.534554297007543","1501","112","25","20212","ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000109971,ENSG00000137486,ENSG00000141480,ENSG00000160691,ENSG00000088832,ENSG00000177885,ENSG00000119782,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000169398,ENSG00000141404,ENSG00000186439,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000164690,ENSG00000163501,ENSG00000146648,ENSG00000141736,ENSG00000089159,ENSG00000138798"
"GO:MF","protein kinase activity","GO:0004672","false","0.00046364991695223496","3.333809813670703","586","112","15","20212","ENSG00000120899,ENSG00000204256,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000188322,ENSG00000169398,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000146648,ENSG00000141736,ENSG00000141867,ENSG00000130726,ENSG00000103653"
"GO:MF","protein methyltransferase activity","GO:0008276","false","0.0005793156511659049","3.2370847381621406","96","112","7","20212","ENSG00000103254,ENSG00000203740,ENSG00000067365,ENSG00000203791,ENSG00000139160,ENSG00000171806,ENSG00000144401"
"GO:MF","transmembrane transporter binding","GO:0044325","true","0.0006176315931619973","3.209270497023044","140","112","8","20212","ENSG00000089250,ENSG00000088832,ENSG00000119782,ENSG00000198363,ENSG00000197122,ENSG00000198626,ENSG00000186439,ENSG00000160014"
